"Country","Year","Life.expectancy","Adult.Mortality","infant.deaths","Alcohol","Hepatitis.B","Measles","under.five.deaths","Total.expenditure","Diphtheria","HIV.AIDS","thinness..1.19.years","thinness.5.9.years","Schooling","EstPopulation","EstGDPpercapita","CorrectedExpenditure","new.Adult.Mortality","WHO.BMI.metric","EstPolio","filtered.Income.composition.of.resources","Developed"
"Afghanistan",2015,65,0.362880886426593,0.0344444444444444,0,0.649484536082474,0.00877960453739701,0.0332,0.555634807417974,0.649484536082474,0,0.619565217391304,0.603508771929825,0.407821229050279,0.0245189621878973,0.00376886706393301,0.00362475877357911,0.282843894899536,0.258333333333333,0.67032967032967,0.325179856115108,0
"Afghanistan",2014,59.9,0.373961218836565,0.0355555555555556,0,0.618556701030928,0.00374312429150722,0.0344,0.557061340941512,0.618556701030928,0,0.630434782608696,0.610526315789474,NA,0.0237586840114404,0.00405631956433506,0.00378625952886151,0.284389489953632,0.25,0.593406593406593,0.320863309352518,0
"Afghanistan",2013,59.9,0.369806094182826,0.0366666666666667,0,0.639175257731959,0.00327142976696769,0.0356,0.553495007132668,0.639175257731959,0,0.63768115942029,0.617543859649123,0.396648044692738,0.0230219807736681,0.0042328286603769,0.00378791764875189,0.285935085007728,0.25,0.615384615384615,0.312230215827338,0
"Afghanistan",2012,59.5,0.375346260387812,0.0383333333333333,0,0.670103092783505,0.021203429675672,0.0372,0.581312410841655,0.670103092783505,0,0.644927536231884,0.628070175438596,0.391061452513967,0.0223081212237546,0.00425294762620036,0.00382910106878179,0.296754250386399,0.241666666666667,0.648351648351648,0.302158273381295,0
"Afghanistan",2011,59.2,0.379501385041551,0.0394444444444444,0,0.680412371134021,0.0229228322973806,0.0388,0.534950071326676,0.680412371134021,0,0.655797101449275,0.635087719298246,0.374301675977654,0.0216163961586376,0.00383589989260941,0.00336668911046836,0.306027820710974,0.233333333333333,0.659340659340659,0.289208633093525,0
"Afghanistan",2010,58.8,0.385041551246537,0.0411111111111111,0,0.65979381443299,0.0151322646662761,0.0408,0.62981455064194,0.65979381443299,0,0.66304347826087,0.642105263157895,0.357541899441341,0.0209461206277947,0.00345538358522325,0.00398928867861778,0.316846986089645,0.225,0.637362637362637,0.280575539568345,0
"Afghanistan",2009,58.6,0.38781163434903,0.0427777777777778,0,0.628865979381443,0.0217664199146385,0.0424,0.645506419400856,0.628865979381443,0,0.670289855072464,0.652631578947368,0.340782122905028,0.0202966280538401,0.00263159022037953,0.00285499613610619,0.324574961360124,0.216666666666666,0.604395604395604,0.260431654676259,0
"Afghanistan",2008,58.1,0.39612188365651,0.0444444444444444,0.00111982082866741,0.639175257731959,0.0121651539473985,0.044,0.567760342368046,0.639175257731959,0,0.677536231884058,0.659649122807017,0.329608938547486,0.0196672753770024,0.00206673158172471,0.00130350523274716,0.332302936630603,0.208333333333333,0.615384615384615,0.258992805755396,0
"Afghanistan",2007,57.5,0.407202216066482,0.0455555555555556,0.000559910414333707,0.628865979381443,0.00868070084676775,0.0452,0.453637660485021,0.628865979381443,0,0.684782608695652,0.666666666666667,0.312849162011173,0.0190574371757208,0.00205247748549684,0.000552190061933294,0.344667697063369,0.2,0.604395604395604,0.233093525179856,0
"Afghanistan",2006,57.3,0.407202216066482,0.0466666666666667,0.00111982082866741,0.639175257731959,0.0151398726424784,0.0464,0.503566333808844,0.577319587628866,0,0.692028985507246,0.673684210526316,0.29608938547486,0.0184665093412729,0.00128676439057265,0.000870294759915819,0.349304482225657,0.191666666666667,0.549450549450549,0.218705035971223,0
"Afghanistan",2005,57.3,0.401662049861496,0.0472222222222222,0.000559910414333707,0.65979381443299,0.00985993715811657,0.0472,0.594151212553495,0.577319587628866,0,0.695652173913043,0.680701754385965,0.284916201117318,0.0178939039332963,0.00111246897843767,0.000697115035074076,0.350850077279753,0.183333333333333,0.549450549450549,0.205755395683453,0
"Afghanistan",2004,57,0.404432132963989,0.0483333333333333,0.000559910414333707,0.670103092783505,0.0035453169102487,0.048,0.600570613409415,0.0309278350515464,0,0.702898550724638,0.687719298245614,0.223463687150838,0.0173390543242667,0.000852313055676174,0.000770013008350902,0.358578052550232,0.175,0.461538461538462,0.184172661870504,0
"Afghanistan",2003,56.7,0.407202216066482,0.0483333333333333,0,0.649484536082474,0.00607116500939585,0.0488,0.602710413694722,0.402061855670103,0,0.710144927536232,0.694736842105263,0.206703910614525,0.0168014093200941,0.000665637600741811,0.000548855431328839,0.364760432766615,0.166666666666667,0.362637362637363,0.172661870503597,0
"Afghanistan",2002,56.2,0.00277008310249307,0.0488888888888889,0,0.639175257731959,0.0189134288387946,0.0488,0.527104136947218,0.350515463917526,0,0.717391304347826,0.0736842105263158,0.189944134078212,0.0162804353648997,0.000552990777762884,0.000819407778757958,0.37403400309119,0.158333333333333,0.307692307692308,0.126618705035971,0
"Afghanistan",2001,55.3,0.436288088642659,0.0488888888888889,0,0.628865979381443,0.0666610874841184,0.0488,0.529957203994294,0.319587628865979,0,0.072463768115942,0.0807017543859649,0.173184357541899,0.0157756158060899,NA,NA,0.397217928902628,0.15,0.296703296703297,0.125179856115108,0
"Afghanistan",2000,54.8,0.443213296398892,0.0488888888888889,0,0.618556701030928,0.0496953005530999,0.0488,0.55848787446505,0.22680412371134,0,0.0797101449275362,0.0842105263157895,0.150837988826816,0.0152864494245057,NA,NA,0.41112828438949,0.141666666666667,0.175824175824176,0.122302158273381,0
"Albania",2015,77.8,0.101108033240997,0,0.256998880179171,1,0,0,0.401569186875892,1,0,0.0398550724637681,0.0421052631578947,0.636871508379888,0.00214533485373143,0.0294573196477724,0.0179279849793108,0.0649149922720247,0.575,1,0.732374100719425,0
"Albania",2014,77.5,0.00969529085872576,0,0.251959686450168,0.989690721649485,0,4e-04,0.393009985734665,0.989690721649485,0,0.0398550724637681,0.0421052631578947,0.636871508379888,0.00215395038481814,0.0342196124655087,0.0210578306280521,0.0741885625965997,0.566666666666667,0.989010989010989,0.730935251798561,0
"Albania",2013,77.2,0.114958448753463,0,0.265957446808511,1,0,4e-04,0.377318116975749,1,0,0.0434782608695652,0.0456140350877193,0.636871508379888,0.00216260119232659,0.0328850281379328,0.0211000667516072,0.0772797527047913,0.558333333333333,1,0.728057553956835,0
"Albania",2012,76.9,0.117728531855956,0,0.287234042553192,1,6.84717858202539e-05,4e-04,0.372325249643367,1,0,0.0434782608695652,0.0456140350877193,0.636871508379888,0.00217128580640589,0.031550047455659,0.0201617623257714,0.0819165378670788,0.55,1,0.717985611510791,0
"Albania",2011,76.6,0.120498614958449,0,0.300111982082867,1,0.000213023333663012,4e-04,0.380884450784593,1,0,0.0471014492753623,0.0491228070175439,0.58659217877095,0.00218000643183239,0.0329169387542799,0.021314768025911,0.0819165378670788,0.541666666666667,1,0.697841726618705,0
"Albania",2010,76.2,0.124653739612188,0.000555555555555556,0.295072788353863,1,7.60797620225044e-05,4e-04,0.354493580599144,1,0,0.0471014492753623,0.0491228070175439,0.541899441340782,0.00218876086382973,0.0302652785513529,0.0168701449500216,0.0819165378670788,0.533333333333333,1,0.679136690647482,0
"Albania",2009,76.1,0.124653739612188,0.000555555555555556,0.323628219484882,0.989690721649485,0,4e-04,0.386590584878745,0.989690721649485,0,0.0507246376811594,0.0526315789473684,0.525139664804469,0.00219755130717428,0.0304449401467101,0.0169674912082928,0.0819165378670788,0.525,0.989010989010989,0.673381294964029,0
